Name	#	HP	D1	D2	D3	D4	D5	D6	Whiff Trigger	Crit Trigger	Exp	Whiff Name	Whiff Text	Crit Name	Crit Text	Passive Name	Passive Text	Passive Type	Guild Name	Guild Text	Battlecry	Title Size	Crit Size	Guild Size	Passive Size	Battlecry Size	HasArt
Wormel		6		1	1	1	2	2		5	1.2			Can you dig it?	2 damage and this card cannot be attacked next turn	Healthy Soil	On your turn all Garden Guard members [Heal] 1		Garden Guard	Does +1 damage for each additional GG member	Dirt is delicious!	28	15	17	15	17	Y
Potatie		6			2	2	2	2		6	1.3			Spud Blood	2 damage and this card is fully healed	Spec Tater	Whenever you would draw a card, look at the top 2 cards of the deck then put one in your hand and the other on top of the deck		Garden Guard	Does +1 damage for each additional GG member	An eye for an eye for an eye!	28	15	17	13	17	Y
Old Man Eggplant		7		1	1	1	3	3	1	5	1.5	Whipper Snap	[Defender] may move this card	Eggplanter	3 damage and [Defender] cannot move next turn	Aubergine Limousine	On your turn, you may move a damaged opponents card and heal it for 1		Garden Guard	Does +1 damage for each additional GG member	I remember when you were just a seedling.	28	15	17	15	17	Y
Miss Turnip		8		1	1	2	2	4		6	1.7			Well Nourished	4 damage and heal 2 on an adjecent card	Root Awakening	This card does +2 damage the first time it attacks		Garden Guard	Does +1 damage for each additional GG member	I will bury you! It's fun!	28	15	17	15	17	Y
Mr Carrot		8		1	2	2	3	3		5	1.8			Crop Rotation	3 damage and deal +2 damage on this card's next attack	Carrot Cake	On your turn this card may take 1 damage to deal 2 [Heal] on an adjacent card		Garden Guard	Does +1 damage for each additional GG member	Please don't eat your veggies.	28	15	17	15	17	Y
Paddilocks		4								4	0.0			If the Key Fits	3 damage OR [Heal] 3	Juuust Right	When attacked, if this card takes any value of damage other than 2, the damage is ignored		Mythical Mystics	On your turn you may re-roll a die	I've got this locked down.	28	15	17	15	17	Y
Munchkinstein		4	1	1	1	1	1	1		5	1.0			Lucky Score	1 damage and draw a card	Catch me if you can	When attacked, this card is only affected by critical hits		Mythical Mystics	On your turn you may re-roll a die	Hit me hit me hit me.	28	15	17	15	17	Y
Krongdongle		5	1	1	1	1	1	5		6	1.7			Take Five	5 damage and [Flurry]	Tiny lil' Thump	On your turn, any card in play takes 1 [Hurt]		Mythical Mystics	On your turn you may re-roll a die	Can you hear me knockin'?	28	15	17	15	17	Y
Fairy Cheesedoodle		6		1	1	2	3	4		6	1.8			Join the Fun	4 damage. If not [Defeated] take control of the attacked card	Drama Queen	If this card takes 4 or more damage from an attack, the [Attacker] is KOed		Mythical Mystics	On your turn you may re-roll a die	For the love of glitter!	28	15	17	15	17	Y
The Stone in the Sword		6		1	1	3	5	5		5	2.5			Kingmaker	5 damage and this card cannot attack for the rest of the game	Taken for Granite	Roll when this card is attacked. (4-6) the [Attacker] takes the same amount of damage		Mythical Mystics	On your turn you may re-roll a die	I'm gonna lance the lot of you!	28	15	17	15	17	Y
The Great Goobla Blooba		8	1	1	1	1	1	1		6	1.0			Order of the King	1 damage and and [Force] the [Defender]	Royal Jelly	When attacked for 2 or less damage, take 2x damage, otherwise take no damage		Society of Slime	After this card attacks, all adjacent SoS members who have not attacked this turn may make an attack	*Royal trumpet sounds*	20	15	13	15	17	Y
Incoherent Ooze		8		1	1	1	1	2	1	5	1.0	Smogglefloff	Discard 1 card	Mucus Maniac	2 damage and Draw 1 card	Who What Was?	On your turn roll a die. (6) All players shuffle their hands together, then deal the cards starting with the active player		Society of Slime	After this card attacks, all adjacent SoS members who have not attacked this turn may make an attack	Blue ooze bruise for youse	28	15	13	15	17	Y
Quickslime		8	1	1	1	1	1	3		6	1.3			Speedburn	3 damage and move an adjacent card	Don't Blink	After an attack is declared against one of your cards, you may [Replace] that card with this one if it is in your hand		Society of Slime	After this card attacks, all adjacent SoS members who have not attacked this turn may make an attack	Blink and you'll miss it!	28	15	13	15	17	Y
Slugzilla		8		1	1	2	2	2	1		1.3	Snail Fail	The [Defender] may make an attack against this card			Hype Beast	All adjacent cards deal +1 damage		Society of Slime	After this card attacks, all adjacent SoS members who have not attacked this turn may make an attack	Slime this on for size	28	15	13	15	17	Y
The Emissary of Goo		8	1	1	1	1	1	1		6				Political Compromise	All adjacent cards take 1 [Hurt]	Connecting Cultures	Diagonal cards are considered adjacent and consider this card adjacent.		Society of Slime	After this card attacks, all adjacent SoS members who have not attacked this turn may make an attack	Let us all join together!	28	15	13	15	17	Y
Triangle Tim		7	1	1	2	2	3	3		6	2.0			All Together Now	3 damage and perform this card's battlecry as if it has never been used	Titanium Triad	This card takes 1 less damage from attacks unless a battlecry was used with that attack		The Beat Brigade	When this card performs it's battlecry, all other members of BB in play add their battlecry for an additional +1 damage each	*Ting cling cling*	28	15	13	15	17	Y
Bongo Bill		7	0	1	1	1	2	2		6	1.2			All Together Now	2 damage and perform this card's battlecry as if it has never been used	Beat Master	Adjacent cards deal a bonus +1 Damage with their battlecries		The Beat Brigade	When this card performs it's battlecry, all other members of BB in play add their battlecry for an additional +1 damage each	*Badda badda boom boom*	28	15	13	15	17	Y
